"uri","sort_name","authority_id","created_by"
"/agents/people/56685","Cowan, Robert Ernest, 1862-1942","http://id.loc.gov/authorities/names/n85046465","lyrasis-dts"
"/agents/people/56686","McIlvaine, Charles Pettit, 1799-1873","http://id.loc.gov/authorities/names/n86838935","lyrasis-dts"
"/agents/people/56689","DeNardis, Lawrence Joseph, 1938-","http://id.loc.gov/authorities/names/no2003059591","lyrasis-dts"
"/agents/people/56690","Wellington, Sheila W.","http://id.loc.gov/authorities/names/no96048808","lyrasis-dts"
"/agents/people/56694","Bates, Robert Chapman, 1901-1942","http://id.loc.gov/authorities/names/n94091866","lyrasis-dts"
"/agents/people/56695","Lemisch, Jesse, 1936-","http://id.loc.gov/authorities/names/n97028404","lyrasis-dts"
"/agents/people/56696","Seeley, Elias P., 1791-1846","http://id.loc.gov/authorities/names/n85185663","lyrasis-dts"
"/agents/people/56698","Campbell-Tipton, Louis, 1877-1921","http://id.loc.gov/authorities/names/n96094496","lyrasis-dts"
"/agents/people/56699","Bashford, J. W. (James Whitford), 1849-1919","http://id.loc.gov/authorities/names/nr2001011133","lyrasis-dts"
"/agents/people/56701","Viets, Roger, 1738-1811","http://id.loc.gov/authorities/names/n85352473","lyrasis-dts"
"/agents/people/56702","Dale, Joseph, 1750-1821","http://id.loc.gov/authorities/names/n88023713","lyrasis-dts"
"/agents/people/56703","Schering, Arnold, 1877-1941","http://id.loc.gov/authorities/names/n86130321","lyrasis-dts"
"/agents/people/56704","Cooke, Thomas, 1703-1756","http://id.loc.gov/authorities/names/n83041838","lyrasis-dts"
"/agents/people/56705","Dahlgren, Madeleine Vinton, 1825-1898","http://id.loc.gov/authorities/names/n88071999","lyrasis-dts"
"/agents/people/56708","Leblanc, Georgette, 1869-1941","http://id.loc.gov/authorities/names/n86139803","lyrasis-dts"
"/agents/people/56709","Ordway, Samuel H., Jr., 1900-1971","http://id.loc.gov/authorities/names/no2014087882","lyrasis-dts"
"/agents/people/56712","Lyman, Joseph, 1749-1828","http://id.loc.gov/authorities/names/n85305814","lyrasis-dts"
"/agents/people/56713","Fredgant, Sara, 1900-","http://id.loc.gov/authorities/names/nr92026904","lyrasis-dts"
"/agents/people/56715","Pearce, John N.","http://id.loc.gov/authorities/names/no2004081965","lyrasis-dts"
"/agents/people/56721","Douskey, Franz","http://id.loc.gov/authorities/names/n81015078","lyrasis-dts"
"/agents/people/56726","Rawlings, Marjorie Kinnan, 1896-1953","http://id.loc.gov/authorities/names/n50054037","lyrasis-dts"
"/agents/people/56731","Rosenman, Samuel I. (Samuel Irving), 1896-1973","http://id.loc.gov/authorities/names/n79055339","lyrasis-dts"
"/agents/people/56732","Rabinovits, Yitsḥaḳ, 1887-1968","http://id.loc.gov/authorities/names/no2003126311","lyrasis-dts"
"/agents/people/56733","Coxe, George Harmon, 1901-1984","http://id.loc.gov/authorities/names/n50017906","lyrasis-dts"
