uri,sort_name,authority_id,created_by,
/agents/people/73654,"Loeffler, Charles Martin, 1861-1935",http://id.loc.gov/authorities/names/n82044771,amd243,http://www.wikidata.org/entity/Q1065471
/agents/people/76466,"Mathews, Charles, 1776-1835",http://id.loc.gov/authorities/names/n84135273,lyrasis-dts,http://www.wikidata.org/entity/Q1065476
/agents/people/66210,"Bakewell, Charles M. (Charles Montague), 1867-1957",http://id.loc.gov/authorities/names/no00002428,lyrasis-dts,http://www.wikidata.org/entity/Q1065548
/agents/people/74394,"Hall, Asaph, III, 1829-1907",http://id.loc.gov/authorities/names/n87802742,lyrasis-dts,http://www.wikidata.org/entity/Q106559
/agents/people/90048,"Nagel, Charles, 1849-1940",http://id.loc.gov/authorities/names/n2001120424,lyrasis-dts,http://www.wikidata.org/entity/Q1065608
/agents/people/61218,"Taft, Charles Phelps, 1843-1929",http://id.loc.gov/authorities/names/n95098049,lyrasis-dts,http://www.wikidata.org/entity/Q1065770
/agents/people/60962,"Smirke, Robert, 1752-1845",http://id.loc.gov/authorities/names/n85305874,lyrasis-dts,http://www.wikidata.org/entity/Q10658585
/agents/people/75158,"Rosen, Charles, 1927-2012",http://id.loc.gov/authorities/names/n50048358,amd243,http://www.wikidata.org/entity/Q1065956
/agents/people/74307,"Johnson, Charles Spurgeon, 1893-1956",http://id.loc.gov/authorities/names/n50038921,amd243,http://www.wikidata.org/entity/Q1065979
/agents/people/62643,"Seeger, Charles, 1886-1979",http://id.loc.gov/authorities/names/n81041844,amd243,http://www.wikidata.org/entity/Q1066045
/agents/people/59928,"Seymour, Charles, 1885-1963",http://id.loc.gov/authorities/names/n50002509,lyrasis-dts,http://www.wikidata.org/entity/Q1066058
/agents/people/76595,"Sumner, Charles, 1811-1874",http://id.loc.gov/authorities/names/n81057079,amd243,http://www.wikidata.org/entity/Q1066198
/agents/people/74787,"Maillard de Tournon, Carlo Tommaso, 1668-1710",http://id.loc.gov/authorities/names/no2014009444,amd243,http://www.wikidata.org/entity/Q1066243
/agents/people/83703,"Cadman, Charles Wakefield, 1881-1946",http://id.loc.gov/authorities/names/n81149282,amd243,http://www.wikidata.org/entity/Q1066383
/agents/people/75531,"Bach, Johann Christian, 1735-1782",http://id.loc.gov/authorities/names/n80008104,amd243,http://www.wikidata.org/entity/Q106641
/agents/people/70735,"Moore, Charles Willard, 1925-1993",http://id.loc.gov/authorities/names/n50078827,lyrasis-dts,http://www.wikidata.org/entity/Q1066442
/agents/people/74293,"Eliot, Charles William, 1834-1926",http://id.loc.gov/authorities/names/n50012099,lyrasis-dts,http://www.wikidata.org/entity/Q1066447
/agents/people/86782,"Brasseur de Bourbourg, abbé, 1814-1874",http://id.loc.gov/authorities/names/n81042139,lyrasis-dts,http://www.wikidata.org/entity/Q1066666
/agents/people/88296,"Dante Alighieri, 1265-1321",http://id.loc.gov/authorities/names/n78095495,lyrasis-dts,http://www.wikidata.org/entity/Q1067
/agents/people/90536,"Belmont, August, 1813-1890",http://id.loc.gov/authorities/names/n81114139,amd243,http://www.wikidata.org/entity/Q106712
/agents/people/90202,"Von Wiegand, Charmion",http://id.loc.gov/authorities/names/n84088246,lyrasis-dts,http://www.wikidata.org/entity/Q1067592
/agents/corporate_entities/13100,Howard University,http://id.loc.gov/authorities/names/n79064543,lyrasis-dts,http://www.wikidata.org/entity/Q1068752
/agents/people/64982,"Waugh, Evelyn, 1903-1966",http://id.loc.gov/authorities/names/n79049248,lyrasis-dts,http://www.wikidata.org/entity/Q107002
/agents/people/91553,"Basie, Count, 1904-1984",http://id.loc.gov/authorities/names/n81016968,amd243,http://www.wikidata.org/entity/Q107008
/agents/people/60133,"Bolton, Chester Castle, 1882-1939",http://id.loc.gov/authorities/names/n88212031,lyrasis-dts,http://www.wikidata.org/entity/Q1070677
/agents/people/73852,"Holifield, Chet, 1903-1995",http://id.loc.gov/authorities/names/n88217873,amd243,http://www.wikidata.org/entity/Q1070709
/agents/people/67167,"Chapin, Chester W. (Chester William), 1798-1883",http://id.loc.gov/authorities/names/nr93011584,lyrasis-dts,http://www.wikidata.org/entity/Q1070746
/agents/people/91135,"Serly, Tibor, 1901-1978",http://id.loc.gov/authorities/names/n79128084,amd243,http://www.wikidata.org/entity/Q1071272
/agents/people/75622,"Peter Pan, (Fictitious character)",http://id.loc.gov/authorities/names/nb2016002053,lyrasis-dts,http://www.wikidata.org/entity/Q107190
/agents/people/82262,"Grosz, George, 1893-1959",http://id.loc.gov/authorities/names/n50032968,amd243,http://www.wikidata.org/entity/Q107194
/agents/corporate_entities/13035,Yale University. Divinity School,http://id.loc.gov/authorities/names/n86128509,lyrasis-dts,http://www.wikidata.org/entity/Q10723329
/agents/people/70660,"Onsager, Lars, 1903-1976",http://id.loc.gov/authorities/names/n96029554,lyrasis-dts,http://www.wikidata.org/entity/Q107405
/agents/people/82016,"Kostelanetz, Andre, 1901-1980",http://id.loc.gov/authorities/names/n81078384,amd243,http://www.wikidata.org/entity/Q1074114
/agents/people/66910,"Wissler, Clark, 1870-1947",http://id.loc.gov/authorities/names/n50014434,lyrasis-dts,http://www.wikidata.org/entity/Q1074998
/agents/corporate_entities/10903,Colby College,http://id.loc.gov/authorities/names/n79022133,lyrasis-dts,http://www.wikidata.org/entity/Q1075116
/agents/corporate_entities/11497,National Museum of the American Indian (U.S.),http://id.loc.gov/authorities/names/no90002000,lyrasis-dts,http://www.wikidata.org/entity/Q1075141
/agents/people/91177,"Li, Choh-Ming, 1912-",http://id.loc.gov/authorities/names/n82156934,lyrasis-dts,http://www.wikidata.org/entity/Q1075728
/agents/people/71295,"Niebuhr, H. Richard (Helmut Richard), 1894-1962",http://id.loc.gov/authorities/names/n81018476,lyrasis-dts,http://www.wikidata.org/entity/Q1076201
/agents/people/73959,"Ranke, Hermann, 1878-1953",http://id.loc.gov/authorities/names/n84803023,lyrasis-dts,http://www.wikidata.org/entity/Q107810
/agents/people/78502,"Drake, Alfred, 1914-1992",http://id.loc.gov/authorities/names/n81098962,lyrasis-dts,http://www.wikidata.org/entity/Q1078468
/agents/people/70671,"Barthelmess, Christian, 1854-1906",http://id.loc.gov/authorities/names/n2004076115,lyrasis-dts,http://www.wikidata.org/entity/Q1078892
/agents/people/56155,"Bérard, Christian, 1902-1949",http://id.loc.gov/authorities/names/n84095441,amd243,http://www.wikidata.org/entity/Q1079125
/agents/people/90178,"Chodorov, Frank, 1887-1966",http://id.loc.gov/authorities/names/n80003935,lyrasis-dts,http://www.wikidata.org/entity/Q1081269
/agents/people/69920,"Edelstein, Ludwig, 1902-1965",http://id.loc.gov/authorities/names/n84806580,lyrasis-dts,http://www.wikidata.org/entity/Q108178
/agents/people/81761,"Kunze, John C. (John Christopher), 1744-1807",http://id.loc.gov/authorities/names/n85387464,lyrasis-dts,http://www.wikidata.org/entity/Q108273
/agents/people/71917,"Denikin, Anton Ivanovich, 1872-1947",http://id.loc.gov/authorities/names/n50035923,amd243,http://www.wikidata.org/entity/Q108314
/agents/people/60905,"Alsop, Joseph, 1910-1989",http://id.loc.gov/authorities/names/n81035380,lyrasis-dts,http://www.wikidata.org/entity/Q1083797
/agents/people/86589,"Kunzelmann, Dieter, 1939-1998",http://id.loc.gov/authorities/names/n92080133,amd243,http://www.wikidata.org/entity/Q108481
/agents/people/79458,"Rostand, Maurice, 1891-1968",http://id.loc.gov/authorities/names/n88051192,lyrasis-dts,http://www.wikidata.org/entity/Q1085320
/agents/people/61940,"Tartini, Giuseppe, 1692-1770",http://id.loc.gov/authorities/names/n80035829,amd243,http://www.wikidata.org/entity/Q108555
