lc_uri,snac_ark
http://id.loc.gov/authorities/names/no2006027989,http://n2t.net/ark:/99166/w6bv7x5m
http://id.loc.gov/authorities/names/n89116452,http://n2t.net/ark:/99166/w6tt5nt2
http://id.loc.gov/authorities/names/no2009129221,http://n2t.net/ark:/99166/w6rv0p67
http://id.loc.gov/authorities/names/n80104373,http://n2t.net/ark:/99166/w67t0kvh
http://id.loc.gov/authorities/names/nr93023884,http://n2t.net/ark:/99166/w6mk6zws
http://id.loc.gov/authorities/names/n79022087,http://n2t.net/ark:/99166/w6m043ks
http://id.loc.gov/authorities/names/n79039761,http://n2t.net/ark:/99166/w6zh7g95
http://id.loc.gov/authorities/names/n80133000,http://n2t.net/ark:/99166/w65q5vbb
http://id.loc.gov/authorities/names/n80070350,http://n2t.net/ark:/99166/w6jq1wr1
http://id.loc.gov/authorities/names/n89606793,http://n2t.net/ark:/99166/w6bz8htk
http://id.loc.gov/authorities/names/nr88003150,http://n2t.net/ark:/99166/w68p87nn
http://id.loc.gov/authorities/names/n88648991,http://n2t.net/ark:/99166/w6dj61cp
http://id.loc.gov/authorities/names/n81018830,http://n2t.net/ark:/99166/w6j78615
http://id.loc.gov/authorities/names/n50001702,http://n2t.net/ark:/99166/w69z9gqw
http://id.loc.gov/authorities/names/n79067862,http://n2t.net/ark:/99166/w6r89482
http://id.loc.gov/authorities/names/n88641749,http://n2t.net/ark:/99166/w6z89f6r
http://id.loc.gov/authorities/names/n83050546,http://n2t.net/ark:/99166/w6nk3cwx
http://id.loc.gov/authorities/names/n81147240,http://n2t.net/ark:/99166/w6tf06gh
http://id.loc.gov/authorities/names/n79096877,http://n2t.net/ark:/99166/w6pc3pzs
http://id.loc.gov/authorities/names/n50003695,http://n2t.net/ark:/99166/w6xg9t9d
http://id.loc.gov/authorities/names/n91012448,http://n2t.net/ark:/99166/w6fn3jqk
http://id.loc.gov/authorities/names/n92030799,http://n2t.net/ark:/99166/w6cr85s7
http://id.loc.gov/authorities/names/nr95034573,http://n2t.net/ark:/99166/w6x93wdk
